date,WP(MW)
2020/1/6 14:30,2109.74
2020/1/6 14:45,2132.99
2020/1/6 15:00,2292.28
2020/1/6 15:15,2460.68
2020/1/6 15:30,2757.06
2020/1/6 15:45,2860.5
2020/1/6 16:00,3585.29
2020/1/6 16:15,3996.87
2020/1/6 16:30,3855.77
2020/1/6 16:45,4031.5
2020/1/6 17:00,3833.67
2020/1/6 17:15,3672.1
2020/1/6 17:30,3653.26
2020/1/6 17:45,3408.21
2020/1/6 18:00,3500.86
2020/1/6 18:15,3519.45
2020/1/6 18:30,3489.79
2020/1/6 18:45,3454.11
2020/1/6 19:00,3465.79
2020/1/6 19:15,3278.24
2020/1/6 19:30,3306.74
2020/1/6 19:45,3279.27
2020/1/6 20:00,3223.52
2020/1/6 20:15,3257.99
2020/1/6 20:30,3302.44
2020/1/6 20:45,3203.74
2020/1/6 21:00,3053.38
2020/1/6 21:15,3030.96
2020/1/6 21:30,3167.67
2020/1/6 21:45,3410.56
2020/1/6 22:00,3547.3
2020/1/6 22:15,3655.09
2020/1/6 22:30,3846.16
2020/1/6 22:45,4042.41
2020/1/6 23:00,4092.04
2020/1/6 23:15,3999.9
2020/1/6 23:30,3822.94
2020/1/6 23:45,3842.02
2020/1/7 0:00,3808.12
2020/1/7 0:15,5923.34
2020/1/7 0:30,5865.69
2020/1/7 0:45,5816.82
2020/1/7 1:00,5830.4
2020/1/7 1:15,6076.85
2020/1/7 1:30,6307.54
2020/1/7 1:45,6510.95
2020/1/7 2:00,6467.83
2020/1/7 2:15,6420.66
2020/1/7 2:30,6413.78
2020/1/7 2:45,6474.87
2020/1/7 3:00,6735.12
2020/1/7 3:15,6864.29
2020/1/7 3:30,7125.61
2020/1/7 3:45,7157.98
2020/1/7 4:00,7204.59
2020/1/7 4:15,7189.2
2020/1/7 4:30,7094.09
2020/1/7 4:45,6952.26
2020/1/7 5:00,6761.2
2020/1/7 5:15,6547.89
2020/1/7 5:30,6293.97
2020/1/7 5:45,6212.14
2020/1/7 6:00,6049.75
2020/1/7 6:15,5807.49
2020/1/7 6:30,5508.38
2020/1/7 6:45,5304.99
2020/1/7 7:00,5136.51
2020/1/7 7:15,4862.35
2020/1/7 7:30,4599.06
2020/1/7 7:45,4473.95
2020/1/7 8:00,4520.58
2020/1/7 8:15,4434.85
2020/1/7 8:30,4387.18
2020/1/7 8:45,4441.24
2020/1/7 9:00,4581.07
2020/1/7 9:15,4516.55
2020/1/7 9:30,4495.92
2020/1/7 9:45,4544.46
2020/1/7 10:00,4689.41
2020/1/7 10:15,4665.28
