date,Active_Power,Current_Phase_Average_Mean,Wind_Speed,Weather_Temperature_Celsius,Global_Horizontal_Radiation,Air_Pressure,Temperature_Probe_1
2019/1/12 16:00,41.22461335,60.80877391,3.002499978,40.15333366,882.5066427,951.213328,67.30666351
2019/1/12 17:00,25.40935024,37.5864315,2.488333344,41.72194449,1015.198654,950.678889,74.02341652
2019/1/13 8:00,45.69723701,67.64893881,0.422500007,30.13750013,0.0001,948.826945,41.32923857
2019/1/13 9:00,64.56658999,95.33995946,0.917777777,29.72444439,0.0001,948.7999878,40.95656363
2019/1/13 10:00,77.28635534,114.0188249,0.32194445,28.51194445,0.0001,949.0400035,41.16257858
2019/1/13 11:00,85.47314326,125.9477183,0.365833341,28.29749982,0.0001,949.6755473,41.55223306
2019/1/13 12:00,87.49412473,128.9007645,0.671111117,28.049167,29.89161018,950.5780487,41.45996094
2019/1/13 13:00,84.35725466,124.3111483,1.18416667,31.51138894,177.3492657,951.4736125,45.06711483
2019/1/13 14:00,71.34225162,105.0304162,1.105555544,35.89666684,453.6391958,951.6835938,54.09477806
2019/1/13 15:00,56.08900627,82.73354435,1.902222216,38.64888859,682.0792796,951.4691722,62.97811604
2019/1/13 16:00,42.54048737,62.76304658,2.355833332,40.57972209,873.5734711,951.2177684,69.13029226
2019/1/13 17:00,28.13217211,41.60097647,1.913888911,41.9063886,1010.591629,950.6825002,75.43657176
2019/1/14 8:00,45.18437004,67.01491133,0.281388895,28.99388901,0.0001,948.1130371,40.72753112
2019/1/14 9:00,64.60369968,95.42870458,0.615000017,29.51083326,0.0001,948.0022176,40.95948569
2019/1/14 10:00,78.10868772,115.1554813,0.75388889,29.96750005,0.0001,948.1730499,41.52396329
2019/1/14 11:00,84.61019262,124.8589242,0.907777781,29.38166634,0.0001,948.6088867,41.23509693
2019/1/14 12:00,87.18450737,128.6253236,1.204444453,29.98361111,25.5921869,949.211675,41.80733426
2019/1/14 13:00,74.93643157,110.7217999,2.391388873,33.60999966,179.8327427,949.742218,46.21516069
2019/1/14 14:00,78.29651451,115.5580209,3.617500007,37.13027795,457.6079152,950.0586192,53.44074821
2019/1/14 15:00,62.62537305,92.47804022,3.216666679,39.03722254,685.960261,949.8958282,60.65567239
2019/1/14 16:00,31.64392225,46.82327978,2.554444432,40.58638922,871.1140594,949.4794464,67.84819794
2019/1/14 17:00,19.20983426,28.45547676,2.422666645,41.25266647,968.4609985,949.1019897,72.64792328
2019/1/15 8:00,44.17784627,65.55983575,2.533333321,43.1091671,668.3851916,946.7422231,69.44115194
